1,Kurtis Meyers,40,M,Dutch,895477,1
2,Vinita Fletcher,27,F,Cambodian,932210,4
3,Jared Powers,24,M,Brazilian,726139,2
4,Darnell Peck,24,F,Mexican,837529,3
5,Eugene Pace,27,M,Russian,819673,4
6,Cheree Burnett,27,F,British,929303,1
7,Clifford Rosa,21,M,Portuguese,957488,4
8,Sherika Horn,34,F,Chinese,927232,0
9,Jermaine Pennington,37,M,British,831952,2
10,Kourtney Carlson,44,F,Japanese,382563,2
11,Leland Whitaker,44,M,Estonian,297485,5
12,Wonda Herrera,50,F,Irish,5276,4
13,Dorian Bridges,46,M,Irish,117826,3
14,Tamica Perry,49,F,Spanish,289062,4
15,Reggie Salazar,63,M,Dutch,187533,5
16,Delsie Blackburn,41,F,Irish,488712,1
17,Jere Curtis,31,M,Australian,495387,1
18,Vashti Rios,35,F,Greek,971503,5
19,Sylvester Zimmerman,23,M,Chinese,978490,5
20,Tandy Mckay,52,F,Latvian,320664,4
21,Rico Hernandez,55,M,Puerto Rican,41295,2
22,Lynelle Alvarado,69,F,German,828028,4
23,Hans Carpenter,61,M,Guatemalan,357539,0
24,Priscila Cotton,25,F,Chinese,748145,0
25,August Glass,21,M,Cameroonian,687572,1
26,Kimi Kinney,30,F,British,607020,5
27,Horace Kemp,55,M,Saudi,434475,1
28,Lavone Daniel,45,F,Venezuelan,288711,3
29,Arron Barrett,63,M,Israeli,89923,1
30,Carlee Duffy,19,F,French,532800,2
31,Federico Phillips,25,M,Saudi,856608,3
32,Chanelle Harper,48,F,Chinese,40563,1
33,Pete Clements,48,M,Danish,231437,3
34,Glennis Hernandez,38,F,Australian,316127,0
35,Harold Bernard,41,M,Iranian,305054,4
36,Kacie Dillard,65,F,Cambodian,250524,4
37,Grady Roman,28,M,Australian,221637,3
38,Melissia Hoover,40,F,Spanish,757447,3
39,Joaquin Bonner,63,M,Cuban,894485,5
40,Laquanda Morris,68,F,Brazilian,139405,1
41,Paris Schmidt,32,M,Jordanian,323483,0
42,Maurice Mcdonald,30,F,Finnish,186841,1
